Date,Price,Open,High,Low,Vol.,Change %
2/17/2003,404.4,400.88,404.93,400.88,276.73M,1.22%
2/14/2003,399.52,395.37,399.52,393.89,183.70M,1.02%
2/13/2003,395.47,395.03,396.1,393.67,133.57M,-0.02%
2/11/2003,395.56,397.22,397.22,392.9,136.61M,-0.42%
2/10/2003,397.22,394.62,397.22,393.59,236.05M,0.66%
2/7/2003,394.63,394.55,394.63,391.98,214.47M,0.05%
2/6/2003,394.45,392.5,394.45,391.89,180.62M,0.55%
2/5/2003,392.31,393.17,393.17,390.53,155.27M,-0.47%
2/4/2003,394.15,390.21,394.15,390.21,200.33M,1.01%
2/3/2003,390.21,388.23,390.81,387.95,87.06M,0.46%
1/31/2003,388.44,392.29,392.29,386.81,90.45M,-0.98%
1/30/2003,392.29,391.66,394.02,390.08,126.73M,0.19%
1/29/2003,391.53,396.17,396.94,390.08,657.93M,-0.93%
1/28/2003,395.21,393.11,395.21,388.17,258.87M,0.42%
1/27/2003,393.56,403.22,403.22,391.99,255.93M,-2.91%
1/24/2003,405.34,405.77,407.98,402.57,286.76M,-0.35%
1/23/2003,406.77,405.26,406.77,403.29,250.53M,0.26%
1/22/2003,405.7,405.16,405.83,403.51,169.58M,0.13%
1/21/2003,405.16,404.67,405.16,401.48,208.07M,0.18%
1/20/2003,404.42,402.05,404.42,400.76,129.32M,0.69%
1/17/2003,401.65,397.48,401.65,396.87,175.36M,1.14%
1/16/2003,397.11,401.28,401.28,392.95,285.42M,-2.09%
1/15/2003,405.6,407.45,409.72,402.18,260.92M,-0.39%
1/14/2003,407.18,396.17,407.18,396.14,326.13M,2.76%
1/13/2003,396.23,399.93,400.07,394.93,279.72M,-0.86%
1/10/2003,399.67,396.8,399.67,395.34,257.01M,0.92%
1/9/2003,396.03,389.29,396.2,387.14,326.11M,1.70%
1/8/2003,389.41,394.01,394.01,387.47,187.21M,-1.30%
1/7/2003,394.52,398.34,400.41,393.01,133.65M,-0.94%
1/6/2003,398.25,407.51,407.51,393.9,290.03M,-2.27%
1/3/2003,407.51,410.13,412.11,405.44,152.80M,-0.39%
1/2/2003,409.12,423.34,423.34,407.97,201.44M,-3.72%
12/27/2002,424.94,425.61,428.62,420.9,429.78M,-0.16%
12/23/2002,425.61,426.73,427.82,422.91,409.01M,0.12%
12/20/2002,425.12,420.31,426.71,420.31,961.13M,1.14%
12/19/2002,420.33,407.1,420.33,407,997.83M,3.43%
12/18/2002,406.39,401,406.39,399.88,680.47M,0.99%
12/17/2002,402.39,395.77,402.39,395.77,639.96M,1.79%
12/16/2002,395.3,392.38,395.71,391.55,462.22M,1.04%
12/13/2002,391.22,393.86,393.86,389.34,314.16M,-0.67%
12/12/2002,393.86,391.72,396.12,391.72,221.88M,0.54%
12/11/2002,391.74,396.89,396.89,390.09,260.61M,-1.34%
12/4/2002,397.08,397.67,398.86,395.22,372.47M,-0.17%
12/3/2002,397.74,389.26,398.21,389.02,402.84M,2.18%
12/2/2002,389.27,390.43,390.43,387.86,141.10M,-0.30%
11/29/2002,390.43,389.91,391.17,388.3,234.23M,0.12%
11/28/2002,389.98,383.93,389.98,383.93,390.89M,1.81%
11/27/2002,383.04,381.24,383.04,379.62,237.16M,0.29%
11/26/2002,381.95,382.3,382.3,376.37,232.34M,0.02%
11/25/2002,381.89,381.52,385,381.14,619.19M,0.12%
11/22/2002,381.45,373.27,381.45,373.27,656.15M,2.20%
11/21/2002,373.23,372.69,374,371.38,264.07M,0.44%
11/20/2002,371.59,369.38,372.76,369.38,505.36M,0.67%
11/19/2002,369.11,367.88,369.11,366.73,956.12M,0.33%
11/18/2002,367.88,373.31,374.15,366.26,558.49M,-1.68%
11/15/2002,374.15,372.32,375.69,370.99,514.61M,0.78%
11/14/2002,371.25,367.44,371.25,367.44,859.11M,1.13%
11/13/2002,367.1,371.57,372.8,365.37,200.09M,-1.08%
11/12/2002,371.09,362.45,371.09,362.24,231.54M,2.35%
11/11/2002,362.57,365.69,365.69,360.58,502.27M,-0.86%
11/8/2002,365.7,367.66,368.14,363.92,403.02M,-1.00%
11/7/2002,369.38,369.28,371.28,367.54,327.13M,-0.01%
11/6/2002,369.4,374.9,375.13,367.92,332.53M,-1.47%
11/5/2002,374.91,385.01,385.12,372.86,745.07M,-2.33%
11/4/2002,383.87,371.29,383.87,371.29,565.95M,3.43%
11/1/2002,371.14,369.7,373.2,368.51,378.22M,0.57%
10/31/2002,369.04,362.22,369.62,362.22,623.39M,2.19%
10/30/2002,361.12,360.47,361.12,358.18,221.47M,-0.22%
10/29/2002,361.92,361.8,364.4,359.77,419.54M,0.07%
10/28/2002,361.68,353.72,361.68,353.29,534.24M,2.27%
10/25/2002,353.65,351.5,353.97,350.35,299.35M,0.13%
10/24/2002,353.19,354.92,355.54,350.51,192.71M,-0.47%
