Date,Price,Open,High,Low,Vol.,Change %
12/1/2002,424.94,390.43,428.62,387.86,6.29B,8.84%
11/1/2002,390.43,369.70,391.17,360.58,9.71B,5.80%
10/1/2002,369.04,418.47,418.47,323.32,11.60B,-11.99%
9/1/2002,419.31,443.03,443.40,401.70,8.28B,-5.49%
8/1/2002,443.67,462.94,466.95,437.04,10.05B,-4.31%
7/1/2002,463.67,505.14,505.60,439.27,14.31B,-8.19%
6/1/2002,505.01,530.82,547.24,498.74,12.42B,-4.86%
5/1/2002,530.79,534.11,551.04,495.98,16.48B,-0.61%
4/1/2002,534.06,482.52,557.59,481.01,35.70B,10.85%
3/1/2002,481.77,452.94,488.13,449.10,21.43B,6.29%
2/1/2002,453.25,453.17,466.67,428.91,11.92B,0.36%
1/1/2002,451.64,387.31,453.44,377.70,11.61B,15.20%
12/1/2001,392.04,380.20,392.04,368.46,6.06B,3.08%
11/1/2001,380.31,383.98,386.34,366.01,8.75B,-0.89%
10/1/2001,383.74,392.47,394.98,361.67,8.45B,-2.23%
9/1/2001,392.48,435.47,449.27,388.95,11.37B,-9.89%
8/1/2001,435.55,443.55,446.14,427.88,13.58B,-1.92%
7/1/2001,444.08,437.31,478.37,426.50,25.34B,1.48%
6/1/2001,437.62,405.78,440.05,386.50,13.99B,7.83%
5/1/2001,405.86,359.40,414.14,357.81,14.60B,13.30%
4/1/2001,358.23,381.05,381.26,338.18,10.05B,-5.99%
3/1/2001,381.05,426.64,435.38,352.67,12.72B,-11.03%
2/1/2001,428.30,426.27,469.81,420.81,12.02B,0.63%
1/1/2001,425.61,415.37,425.61,402.38,10.69B,2.23%
12/1/2000,416.32,428.27,438.59,410.94,5.35B,-3.00%
11/1/2000,429.21,406.89,436.12,405.57,7.62B,5.89%
10/1/2000,405.35,421.16,432.50,399.07,10.44B,-3.80%
9/1/2000,421.34,466.38,478.94,405.20,8.87B,-9.66%
8/1/2000,466.38,492.19,510.16,459.64,12.39B,-5.24%
7/1/2000,492.19,514.66,517.88,489.35,8.54B,-4.45%
6/1/2000,515.11,454.99,515.11,440.46,8.52B,13.38%
5/1/2000,454.33,526.83,553.85,441.64,6.79B,-13.75%
4/1/2000,526.74,583.55,583.57,510.07,5.18B,-9.69%
3/1/2000,583.28,577.79,599.82,528.20,9.58B,1.17%
2/1/2000,576.54,636.76,642.14,565.35,13.01B,-9.40%
1/1/2000,636.37,677.47,707.47,626.30,23.03B,-5.99%
12/1/1999,676.92,583.23,693.53,583.23,13.45B,15.95%
11/1/1999,583.80,594.70,647.51,571.14,12.38B,-1.70%
10/1/1999,593.87,548.34,644.07,548.34,19.27B,8.38%
9/1/1999,547.94,567.03,576.88,503.60,7.62B,-3.37%
8/1/1999,567.03,598.16,622.69,550.40,10.74B,-5.16%
7/1/1999,597.87,667.83,690.27,567.42,15.73B,-9.69%
6/1/1999,662.02,585.34,720.05,567.96,28.98B,13.12%
5/1/1999,585.24,495.19,626.09,495.19,21.68B,18.18%
4/1/1999,495.22,393.62,528.55,392.03,9.34B,25.81%
3/1/1999,393.62,396.05,399.30,370.64,2.67B,-0.62%
2/1/1999,396.09,412.21,417.76,393.21,2.45B,-3.85%
1/1/1999,411.93,393.96,462.12,376.30,3.34B,3.49%
12/1/1998,398.04,385.92,414.50,373.99,4.56B,3.05%
11/1/1998,386.27,301.20,436.79,301.20,8.97B,28.43%
10/1/1998,300.77,276.59,351.13,255.97,5.08B,8.92%
9/1/1998,276.15,342.08,342.08,255.46,5.13B,-19.36%
8/1/1998,342.44,481.79,482.34,323.24,4.28B,-28.91%
7/1/1998,481.72,445.16,492.22,441.81,6.95B,8.03%
6/1/1998,445.92,420.23,445.92,384.71,5.42B,6.06%
5/1/1998,420.46,460.12,460.12,384.10,4.82B,-8.62%
4/1/1998,460.13,543.10,546.68,456.04,8.73B,-15.01%
3/1/1998,541.42,482.38,550.27,482.38,12.68B,12.24%
2/1/1998,482.38,486.02,570.05,437.98,13.78B,-0.73%
1/1/1998,485.94,402.10,486.89,321.08,9.93B,20.97%
12/1/1997,401.71,401.30,427.89,335.69,10.24B,0.00%
11/1/1997,401.71,500.80,514.72,385.85,6.83B,-19.73%
10/1/1997,500.42,546.22,546.22,444.30,8.91B,-8.46%
9/1/1997,546.69,493.60,615.13,475.47,8.29B,10.67%
8/1/1997,493.96,721.50,722.22,491.91,7.66B,-31.52%
7/1/1997,721.27,725.03,742.95,707.42,6.98B,-0.45%
6/1/1997,724.56,696.12,724.56,686.87,6.06B,4.10%
5/1/1997,696.03,652.50,699.72,644.53,5.03B,6.74%
4/1/1997,652.05,662.24,662.24,630.07,4.12B,-1.54%
3/1/1997,662.24,705.78,706.66,646.94,3.79B,-6.11%
2/1/1997,705.37,691.12,717.47,677.14,3.61B,2.06%
1/1/1997,691.12,637.43,695.98,634.14,5.09B,8.42%
12/1/1996,637.43,613.01,638.56,612.74,4.15B,3.98%
11/1/1996,613.01,568.03,631.89,567.87,3.67B,7.92%
10/1/1996,568.03,574.30,592.63,563.31,2.92B,-1.03%
9/1/1996,573.94,547.61,574.70,536.41,2.70B,4.81%
8/1/1996,547.61,536.12,568.77,530.89,2.51B,2.16%
7/1/1996,536.03,594.47,597.42,527.77,2.84B,-9.80%
6/1/1996,594.26,617.43,629.86,569.54,1.77B,-3.76%
5/1/1996,617.47,624.01,629.64,598.40,1.77B,-1.03%
4/1/1996,623.91,585.69,631.41,585.69,2.34B,6.52%
3/1/1996,585.71,585.21,593.58,541.10,1.68B,0.09%
2/1/1996,585.21,579.11,601.97,575.92,1.55B,1.15%
1/1/1996,578.56,513.85,579.74,510.66,1.62B,12.59%
12/1/1995,513.85,481.73,516.24,481.73,1.31B,6.67%
11/1/1995,481.73,488.50,490.64,450.90,1.41B,-1.38%
10/1/1995,488.45,493.24,502.41,486.27,898.28M,-0.97%
9/1/1995,493.24,500.58,502.60,481.96,859.08M,-1.50%
8/1/1995,500.75,512.10,519.53,493.20,784.44M,-2.21%
7/1/1995,512.06,492.34,512.82,488.47,1.10B,4.02%
6/1/1995,492.28,475.33,499.16,475.33,854.59M,3.58%
5/1/1995,475.28,461.53,461.53,461.53,823.39M,14.13%
4/1/1995,416.45,416.45,416.45,416.45,463.08M,-2.84%
3/1/1995,428.64,428.64,428.64,428.64,425.55M,-5.50%
2/1/1995,453.58,453.58,453.58,453.58,1.16B,4.55%
1/1/1995,433.83,433.83,433.83,433.83,560.21M,-7.62%
12/1/1994,469.64,469.64,469.64,469.64,603.32M,-2.69%
11/1/1994,482.63,482.63,482.63,482.63,409.80M,-7.81%
10/1/1994,523.49,523.49,523.49,523.49,541.51M,5.12%
9/1/1994,497.97,497.97,497.97,497.97,540.78M,-2.41%
8/1/1994,510.26,510.26,510.26,510.26,573.84M,13.12%
7/1/1994,451.08,451.08,451.08,451.08,287.05M,-1.36%
6/1/1994,457.30,457.30,457.30,457.30,253.61M,-8.87%
5/1/1994,501.79,501.79,501.79,501.79,422.89M,8.52%
